for i in *.log ; do echo "-----------------Showing $i-----------------" ; cat 
$i ; done
-----------------Showing intmul-rv64_isa_50_hybrid.log-----------------
! 50, isa, 64, 1, 1, 8, 400, 866, 22173, 929
  result is correct!
! 50, isa, 64, 1, 1, 12, 600, 1654, 80975, 1802
  result is correct!
! 50, isa, 64, 1, 1, 16, 800, 2693, 157491, 2986
  result is correct!
! 50, isa, 64, 1, 1, 20, 1000, 3972, 24813, 4153
  result is correct!
! 50, isa, 64, 1, 1, 24, 1200, 5505, 26566, 5749
  result is correct!
! 50, isa, 64, 1, 1, 28, 1400, 7292, 28417, 7619
  result is correct!
! 50, isa, 64, 1, 1, 32, 1600, 9333, 154003, 9964
  result is correct!
! 50, isa, 64, 1, 1, 36, 1800, 11628, 32841, 12140
  result is correct!
! 50, isa, 64, 1, 1, 40, 2000, 14177, 157707, 14955
  result is correct!
! 50, isa, 64, 1, 1, 44, 2200, 16980, 38780, 17722
  result is correct!
! 50, isa, 64, 1, 1, 48, 2400, 20037, 41039, 20921
  result is correct!
! 50, isa, 64, 1, 1, 52, 2600, 23348, 44385, 24374
  result is correct!
! 50, isa, 64, 1, 1, 56, 2800, 26913, 48635, 28085
  result is correct!
! 50, isa, 64, 1, 1, 60, 3000, 30732, 91269, 32120
  result is correct!
! 50, isa, 64, 1, 1, 64, 3200, 34805, 177505, 36467
  result is correct!
! 50, isa, 64, 1, 1, 68, 3400, 39132, 99704, 40873
  result is correct!
! 50, isa, 64, 1, 1, 72, 3600, 43713, 204505, 45911
  result is correct!
-----------------Showing intmul-rv64_isa_50_simple.log-----------------
! 50, isa, 64, 1, 1, 8, 400, 1211, 21448, 1251
  result is correct!
! 50, isa, 64, 1, 1, 12, 600, 2476, 22697, 2576
  result is correct!
! 50, isa, 64, 1, 1, 16, 800, 4188, 156185, 4494
  result is correct!
! 50, isa, 64, 1, 1, 20, 1000, 6348, 26541, 6628
  result is correct!
! 50, isa, 64, 1, 1, 24, 1200, 8956, 29368, 9316
  result is correct!
! 50, isa, 64, 1, 1, 28, 1400, 12012, 156650, 12672
  result is correct!
! 50, isa, 64, 1, 1, 32, 1600, 15516, 35829, 16154
  result is correct!
! 50, isa, 64, 1, 1, 36, 1800, 19468, 78506, 20336
  result is correct!
! 50, isa, 64, 1, 1, 40, 2000, 23868, 82229, 24917
  result is correct!
! 50, isa, 64, 1, 1, 44, 2200, 28716, 87218, 29943
  result is correct!
! 50, isa, 64, 1, 1, 48, 2400, 34012, 173575, 35581
  result is correct!
! 50, isa, 64, 1, 1, 52, 2600, 39756, 179555, 41646
  result is correct!
! 50, isa, 64, 1, 1, 56, 2800, 45948, 186814, 48050
  result is correct!
! 50, isa, 64, 1, 1, 60, 3000, 52588, 199729, 54906
  result is correct!
! 50, isa, 64, 1, 1, 64, 3200, 59676, 199118, 62544
  result is correct!
! 50, isa, 64, 1, 1, 68, 3400, 67212, 204155, 70232
  result is correct!
! 50, isa, 64, 1, 1, 72, 3600, 75196, 213584, 78567
  result is correct!
-----------------Showing intmul-rv64_isa_51_hybrid.log-----------------
! 51, isa, 64, 1, 1, 8, 408, 866, 22429, 929
  result is correct!
! 51, isa, 64, 1, 1, 12, 612, 1654, 23014, 1757
  result is correct!
! 51, isa, 64, 1, 1, 16, 816, 2693, 158190, 2990
  result is correct!
! 51, isa, 64, 1, 1, 20, 1020, 3972, 25103, 4175
  result is correct!
! 51, isa, 64, 1, 1, 24, 1224, 5505, 26215, 5768
  result is correct!
! 51, isa, 64, 1, 1, 28, 1428, 7292, 82753, 7706
  result is correct!
! 51, isa, 64, 1, 1, 32, 1632, 9333, 155736, 9905
  result is correct!
! 51, isa, 64, 1, 1, 36, 1836, 11628, 33277, 12143
  result is correct!
! 51, isa, 64, 1, 1, 40, 2040, 14177, 157928, 14949
  result is correct!
! 51, isa, 64, 1, 1, 44, 2244, 16980, 75320, 17769
  result is correct!
! 51, isa, 64, 1, 1, 48, 2448, 20037, 82373, 20974
  result is correct!
! 51, isa, 64, 1, 1, 52, 2652, 23348, 84467, 24430
  result is correct!
! 51, isa, 64, 1, 1, 56, 2856, 26913, 87832, 28162
  result is correct!
! 51, isa, 64, 1, 1, 60, 3060, 30732, 91199, 32141
  result is correct!
! 51, isa, 64, 1, 1, 64, 3264, 34805, 181551, 36602
  result is correct!
! 51, isa, 64, 1, 1, 68, 3468, 39132, 101268, 40894
  result is correct!
! 51, isa, 64, 1, 1, 72, 3672, 43713, 193117, 45825
  result is correct!
-----------------Showing intmul-rv64_isa_51_simple.log-----------------
! 51, isa, 64, 1, 1, 8, 408, 1211, 21672, 1271
  result is correct!
! 51, isa, 64, 1, 1, 12, 612, 2476, 22580, 2595
  result is correct!
! 51, isa, 64, 1, 1, 16, 816, 4188, 157589, 4536
  result is correct!
! 51, isa, 64, 1, 1, 20, 1020, 6348, 26858, 6608
  result is correct!
! 51, isa, 64, 1, 1, 24, 1224, 8956, 29140, 9335
  result is correct!
! 51, isa, 64, 1, 1, 28, 1428, 12012, 155995, 12724
  result is correct!
! 51, isa, 64, 1, 1, 32, 1632, 15516, 35662, 16155
  result is correct!
! 51, isa, 64, 1, 1, 36, 1836, 19468, 39777, 20265
  result is correct!
! 51, isa, 64, 1, 1, 40, 2040, 23868, 83386, 24912
  result is correct!
! 51, isa, 64, 1, 1, 44, 2244, 28716, 48868, 29911
  result is correct!
! 51, isa, 64, 1, 1, 48, 2448, 34012, 172352, 35603
  result is correct!
! 51, isa, 64, 1, 1, 52, 2652, 39756, 189802, 41631
  result is correct!
! 51, isa, 64, 1, 1, 56, 2856, 45948, 184184, 48047
  result is correct!
! 51, isa, 64, 1, 1, 60, 3060, 52588, 190726, 55026
  result is correct!
! 51, isa, 64, 1, 1, 64, 3264, 59676, 198156, 62550
  result is correct!
! 51, isa, 64, 1, 1, 68, 3468, 67212, 205635, 70260
  result is correct!
! 51, isa, 64, 1, 1, 72, 3672, 75196, 213689, 78582
  result is correct!
-----------------Showing intmul-rv64_isa_52_hybrid.log-----------------
! 52, isa, 64, 1, 1, 8, 416, 867, 22968, 928
  result is correct!
! 52, isa, 64, 1, 1, 12, 624, 1654, 67148, 1810
  result is correct!
! 52, isa, 64, 1, 1, 16, 832, 2693, 156265, 2986
  result is correct!
! 52, isa, 64, 1, 1, 20, 1040, 3972, 25168, 4154
  result is correct!
! 52, isa, 64, 1, 1, 24, 1248, 5505, 81209, 5837
  result is correct!
! 52, isa, 64, 1, 1, 28, 1456, 7292, 28356, 7618
  result is correct!
! 52, isa, 64, 1, 1, 32, 1664, 9333, 157930, 9905
  result is correct!
