for i in *.log ; do echo "-----------------Showing $i-----------------" ; cat 
$i ; done
-----------------Showing intmul-rv64_isa_50_hybrid.log-----------------
! 50, isa, 64, 1, 0, 8, 400, 866, 22089, 929
  result is correct!
! 50, isa, 64, 1, 0, 12, 600, 1654, 22763, 1735
  result is correct!
! 50, isa, 64, 1, 0, 16, 800, 2698, 23973, 2839
  result is correct!
! 50, isa, 64, 1, 0, 20, 1000, 3972, 24987, 4173
  result is correct!
! 50, isa, 64, 1, 0, 24, 1200, 5505, 26377, 5769
  result is correct!
! 50, isa, 64, 1, 0, 28, 1400, 7292, 82527, 7685
  result is correct!
! 50, isa, 64, 1, 0, 32, 1600, 9333, 30589, 9742
  result is correct!
! 50, isa, 64, 1, 0, 36, 1800, 11628, 160600, 12283
  result is correct!
! 50, isa, 64, 1, 0, 40, 2000, 14177, 35119, 14812
  result is correct!
! 50, isa, 64, 1, 0, 44, 2200, 16980, 162110, 17911
  result is correct!
! 50, isa, 64, 1, 0, 48, 2400, 20037, 173890, 21072
  result is correct!
! 50, isa, 64, 1, 0, 52, 2600, 23348, 177975, 24530
  result is correct!
! 50, isa, 64, 1, 0, 56, 2800, 26913, 171533, 28303
  result is correct!
! 50, isa, 64, 1, 0, 60, 3000, 30732, 174481, 32285
  result is correct!
! 50, isa, 64, 1, 0, 64, 3200, 34805, 96881, 36379
  result is correct!
! 50, isa, 64, 1, 0, 68, 3400, 39132, 182373, 41032
  result is correct!
! 50, isa, 64, 1, 0, 72, 3600, 43713, 186766, 45820
  result is correct!
-----------------Showing intmul-rv64_isa_50_simple.log-----------------
! 50, isa, 64, 1, 0, 8, 400, 1211, 21579, 1271
  result is correct!
! 50, isa, 64, 1, 0, 12, 600, 2476, 22686, 2596
  result is correct!
! 50, isa, 64, 1, 0, 16, 800, 4188, 24452, 4348
  result is correct!
! 50, isa, 64, 1, 0, 20, 1000, 6348, 82113, 6675
  result is correct!
! 50, isa, 64, 1, 0, 24, 1200, 8956, 159283, 9560
  result is correct!
! 50, isa, 64, 1, 0, 28, 1400, 12012, 81950, 12574
  result is correct!
! 50, isa, 64, 1, 0, 32, 1600, 15516, 158350, 16312
  result is correct!
! 50, isa, 64, 1, 0, 36, 1800, 19468, 159347, 20420
  result is correct!
! 50, isa, 64, 1, 0, 40, 2000, 23868, 164908, 25003
  result is correct!
! 50, isa, 64, 1, 0, 44, 2200, 28716, 169296, 30048
  result is correct!
! 50, isa, 64, 1, 0, 48, 2400, 34012, 174050, 35614
  result is correct!
! 50, isa, 64, 1, 0, 52, 2600, 39756, 177408, 41594
  result is correct!
! 50, isa, 64, 1, 0, 56, 2800, 45948, 184511, 48060
  result is correct!
! 50, isa, 64, 1, 0, 60, 3000, 52588, 191382, 55011
  result is correct!
! 50, isa, 64, 1, 0, 64, 3200, 59676, 197702, 62357
  result is correct!
! 50, isa, 64, 1, 0, 68, 3400, 67212, 212200, 70394
  result is correct!
! 50, isa, 64, 1, 0, 72, 3600, 75196, 214541, 78716
  result is correct!
-----------------Showing intmul-rv64_isa_51_hybrid.log-----------------
! 51, isa, 64, 1, 0, 8, 408, 866, 21855, 928
  result is correct!
! 51, isa, 64, 1, 0, 12, 612, 1654, 23055, 1757
  result is correct!
