for i in *.log ; do echo "-----------------Showing $i-----------------" ; cat 
$i ; done
-----------------Showing intmul-rv64_isa_50_hybrid.log-----------------
! 50, isa, 64, 0, 1, 8, 400, 869, 22899, 933
  result is correct!
! 50, isa, 64, 0, 1, 12, 600, 1657, 23036, 1760
  result is correct!
! 50, isa, 64, 0, 1, 16, 800, 2701, 24080, 2822
  result is correct!
! 50, isa, 64, 0, 1, 20, 1000, 3975, 25192, 4159
  result is correct!
! 50, isa, 64, 0, 1, 24, 1200, 5508, 37715, 5792
  result is correct!
! 50, isa, 64, 0, 1, 28, 1400, 7295, 28686, 7645
  result is correct!
! 50, isa, 64, 0, 1, 32, 1600, 9336, 30622, 9771
  result is correct!
! 50, isa, 64, 0, 1, 36, 1800, 11631, 81890, 12212
  result is correct!
! 50, isa, 64, 0, 1, 40, 2000, 14180, 35496, 14824
  result is correct!
! 50, isa, 64, 0, 1, 44, 2200, 16983, 38292, 17730
  result is correct!
! 50, isa, 64, 0, 1, 48, 2400, 20040, 167673, 21153
  result is correct!
! 50, isa, 64, 0, 1, 52, 2600, 23351, 180217, 24544
  result is correct!
! 50, isa, 64, 0, 1, 56, 2800, 26916, 181928, 28279
  result is correct!
! 50, isa, 64, 0, 1, 60, 3000, 30735, 174093, 32248
  result is correct!
! 50, isa, 64, 0, 1, 64, 3200, 34808, 176493, 36535
  result is correct!
! 50, isa, 64, 0, 1, 68, 3400, 39135, 184963, 41055
  result is correct!
! 50, isa, 64, 0, 1, 72, 3600, 43716, 187033, 45900
  result is correct!
-----------------Showing intmul-rv64_isa_50_simple.log-----------------
! 50, isa, 64, 0, 1, 8, 400, 1211, 21679, 1252
  result is correct!
! 50, isa, 64, 0, 1, 12, 600, 2476, 22851, 2557
  result is correct!
! 50, isa, 64, 0, 1, 16, 800, 4188, 79365, 4437
  result is correct!
! 50, isa, 64, 0, 1, 20, 1000, 6348, 156257, 6761
  result is correct!
! 50, isa, 64, 0, 1, 24, 1200, 8956, 29439, 9340
  result is correct!
! 50, isa, 64, 0, 1, 28, 1400, 12012, 82532, 12580
  result is correct!
! 50, isa, 64, 0, 1, 32, 1600, 15516, 35963, 16163
  result is correct!
! 50, isa, 64, 0, 1, 36, 1800, 19468, 159515, 20432
  result is correct!
! 50, isa, 64, 0, 1, 40, 2000, 23868, 172362, 25020
  result is correct!
! 50, isa, 64, 0, 1, 44, 2200, 28716, 168630, 30139
  result is correct!
! 50, isa, 64, 0, 1, 48, 2400, 34012, 92183, 35495
  result is correct!
! 50, isa, 64, 0, 1, 52, 2600, 39756, 180602, 41573
  result is correct!
! 50, isa, 64, 0, 1, 56, 2800, 45948, 186595, 48097
  result is correct!
! 50, isa, 64, 0, 1, 60, 3000, 52588, 199818, 55055
  result is correct!
! 50, isa, 64, 0, 1, 64, 3200, 59676, 197317, 62390
  result is correct!
! 50, isa, 64, 0, 1, 68, 3400, 67212, 206298, 70238
  result is correct!
! 50, isa, 64, 0, 1, 72, 3600, 75196, 222621, 78702
  result is correct!
-----------------Showing intmul-rv64_isa_51_hybrid.log-----------------
! 51, isa, 64, 0, 1, 8, 408, 869, 22220, 910
  result is correct!
! 51, isa, 64, 0, 1, 12, 612, 1657, 22862, 1739
  result is correct!
! 51, isa, 64, 0, 1, 16, 816, 2701, 23938, 2843
  result is correct!
! 51, isa, 64, 0, 1, 20, 1020, 3975, 25452, 4181
  result is correct!
! 51, isa, 64, 0, 1, 24, 1224, 5508, 27301, 5755
  result is correct!
! 51, isa, 64, 0, 1, 28, 1428, 7295, 29908, 7628
  result is correct!
! 51, isa, 64, 0, 1, 32, 1632, 9336, 31359, 9772
  result is correct!
! 51, isa, 64, 0, 1, 36, 1836, 11631, 32822, 12148
  result is correct!
! 51, isa, 64, 0, 1, 40, 2040, 14180, 77249, 14846
  result is correct!
! 51, isa, 64, 0, 1, 44, 2244, 16983, 38253, 17751
  result is correct!
! 51, isa, 64, 0, 1, 48, 2448, 20040, 164504, 21074
  result is correct!
! 51, isa, 64, 0, 1, 52, 2652, 23351, 166510, 24531
  result is correct!
! 51, isa, 64, 0, 1, 56, 2856, 26916, 170319, 28264
  result is correct!
! 51, isa, 64, 0, 1, 60, 3060, 30735, 92666, 32141
  result is correct!
! 51, isa, 64, 0, 1, 64, 3264, 34808, 176993, 36543
  result is correct!
! 51, isa, 64, 0, 1, 68, 3468, 39135, 181332, 41108
  result is correct!
! 51, isa, 64, 0, 1, 72, 3672, 43716, 187224, 45771
  result is correct!
-----------------Showing intmul-rv64_isa_51_simple.log-----------------
! 51, isa, 64, 0, 1, 8, 408, 1212, 29202, 1261
  result is correct!
! 51, isa, 64, 0, 1, 12, 612, 2476, 22911, 2577
  result is correct!
! 51, isa, 64, 0, 1, 16, 816, 4188, 24730, 4370
  result is correct!
! 51, isa, 64, 0, 1, 20, 1020, 6348, 158554, 6776
  result is correct!
! 51, isa, 64, 0, 1, 24, 1224, 8956, 30185, 9322
  result is correct!
! 51, isa, 64, 0, 1, 28, 1428, 12012, 32588, 12515
  result is correct!
! 51, isa, 64, 0, 1, 32, 1632, 15516, 82570, 16222
  result is correct!
! 51, isa, 64, 0, 1, 36, 1836, 19468, 163012, 20437
  result is correct!
! 51, isa, 64, 0, 1, 40, 2040, 23868, 164658, 25015
  result is correct!
! 51, isa, 64, 0, 1, 44, 2244, 28716, 168626, 30133
  result is correct!
! 51, isa, 64, 0, 1, 48, 2448, 34012, 92266, 35500
  result is correct!
! 51, isa, 64, 0, 1, 52, 2652, 39756, 177906, 41619
  result is correct!
