for i in *.log ; do echo "-----------------Showing $i-----------------" ; cat 
$i ; done
-----------------Showing intmul-rv64_isa_50_hybrid.log-----------------
! 50, isa, 64, 0, 0, 8, 400, 866, 22317, 930
  result is correct!
! 50, isa, 64, 0, 0, 12, 600, 1654, 23048, 1756
  result is correct!
! 50, isa, 64, 0, 0, 16, 800, 2693, 79754, 2883
  result is correct!
! 50, isa, 64, 0, 0, 20, 1000, 3972, 24760, 4152
  result is correct!
! 50, isa, 64, 0, 0, 24, 1200, 5505, 158318, 5917
  result is correct!
! 50, isa, 64, 0, 0, 28, 1400, 7292, 28436, 7619
  result is correct!
! 50, isa, 64, 0, 0, 32, 1600, 9333, 82273, 9828
  result is correct!
! 50, isa, 64, 0, 0, 36, 1800, 11628, 159977, 12304
  result is correct!
! 50, isa, 64, 0, 0, 40, 2000, 14177, 77585, 14848
  result is correct!
! 50, isa, 64, 0, 0, 44, 2200, 16980, 38690, 17737
  result is correct!
! 50, isa, 64, 0, 0, 48, 2400, 20037, 163222, 21057
  result is correct!
! 50, isa, 64, 0, 0, 52, 2600, 23348, 167046, 24515
  result is correct!
! 50, isa, 64, 0, 0, 56, 2800, 26913, 169996, 28202
  result is correct!
! 50, isa, 64, 0, 0, 60, 3000, 30732, 178189, 32366
  result is correct!
! 50, isa, 64, 0, 0, 64, 3200, 34805, 95791, 36378
  result is correct!
! 50, isa, 64, 0, 0, 68, 3400, 39132, 180147, 41028
  result is correct!
! 50, isa, 64, 0, 0, 72, 3600, 43713, 186426, 45863
  result is correct!
-----------------Showing intmul-rv64_isa_50_simple.log-----------------
! 50, isa, 64, 0, 0, 8, 400, 1211, 21563, 1271
  result is correct!
! 50, isa, 64, 0, 0, 12, 600, 2476, 22585, 2576
  result is correct!
! 50, isa, 64, 0, 0, 16, 800, 4188, 24343, 4368
  result is correct!
! 50, isa, 64, 0, 0, 20, 1000, 6348, 71599, 6664
  result is correct!
! 50, isa, 64, 0, 0, 24, 1200, 8956, 78827, 9396
  result is correct!
! 50, isa, 64, 0, 0, 28, 1400, 12012, 32251, 12510
  result is correct!
! 50, isa, 64, 0, 0, 32, 1600, 15516, 81715, 16226
  result is correct!
! 50, isa, 64, 0, 0, 36, 1800, 19468, 162989, 20477
  result is correct!
! 50, isa, 64, 0, 0, 40, 2000, 23868, 176873, 25015
  result is correct!
! 50, isa, 64, 0, 0, 44, 2200, 28716, 179533, 30140
  result is correct!
! 50, isa, 64, 0, 0, 48, 2400, 34012, 174859, 35544
  result is correct!
! 50, isa, 64, 0, 0, 52, 2600, 39756, 177871, 41618
  result is correct!
! 50, isa, 64, 0, 0, 56, 2800, 45948, 184970, 48073
  result is correct!
! 50, isa, 64, 0, 0, 60, 3000, 52588, 190921, 54967
  result is correct!
! 50, isa, 64, 0, 0, 64, 3200, 59676, 198743, 62396
  result is correct!
! 50, isa, 64, 0, 0, 68, 3400, 67212, 206373, 70323
  result is correct!
! 50, isa, 64, 0, 0, 72, 3600, 75196, 214106, 78670
  result is correct!
-----------------Showing intmul-rv64_isa_51_hybrid.log-----------------
! 51, isa, 64, 0, 0, 8, 408, 866, 22527, 929
  result is correct!
! 51, isa, 64, 0, 0, 12, 612, 1654, 22524, 1756
  result is correct!
! 51, isa, 64, 0, 0, 16, 816, 2698, 23966, 2839
  result is correct!
! 51, isa, 64, 0, 0, 20, 1020, 3972, 24938, 4153
  result is correct!
! 51, isa, 64, 0, 0, 24, 1224, 5505, 163496, 5896
  result is correct!
! 51, isa, 64, 0, 0, 28, 1428, 7292, 83146, 7676
  result is correct!
! 51, isa, 64, 0, 0, 32, 1632, 9333, 30333, 9742
  result is correct!
! 51, isa, 64, 0, 0, 36, 1836, 11628, 158683, 12302
  result is correct!
! 51, isa, 64, 0, 0, 40, 2040, 14177, 35237, 14792
  result is correct!
! 51, isa, 64, 0, 0, 44, 2244, 16980, 78364, 17792
  result is correct!
! 51, isa, 64, 0, 0, 48, 2448, 20037, 168390, 21109
  result is correct!
! 51, isa, 64, 0, 0, 52, 2652, 23348, 169216, 24570
  result is correct!
! 51, isa, 64, 0, 0, 56, 2856, 26913, 170579, 28272
  result is correct!
! 51, isa, 64, 0, 0, 60, 3060, 30732, 177182, 32284
  result is correct!
! 51, isa, 64, 0, 0, 64, 3264, 34805, 56009, 36325
  result is correct!
! 51, isa, 64, 0, 0, 68, 3468, 39132, 189604, 41091
  result is correct!
! 51, isa, 64, 0, 0, 72, 3672, 43713, 187465, 45819
  result is correct!
-----------------Showing intmul-rv64_isa_51_simple.log-----------------
! 51, isa, 64, 0, 0, 8, 408, 1211, 21453, 1271
  result is correct!
! 51, isa, 64, 0, 0, 12, 612, 2476, 22496, 2576
  result is correct!
! 51, isa, 64, 0, 0, 16, 816, 4188, 24369, 4348
  result is correct!
! 51, isa, 64, 0, 0, 20, 1020, 6348, 81639, 6696
  result is correct!
! 51, isa, 64, 0, 0, 24, 1224, 8956, 29277, 9314
  result is correct!
! 51, isa, 64, 0, 0, 28, 1428, 12012, 32597, 12513
  result is correct!
! 51, isa, 64, 0, 0, 32, 1632, 15516, 35862, 16153
  result is correct!
! 51, isa, 64, 0, 0, 36, 1836, 19468, 160143, 20468
  result is correct!
! 51, isa, 64, 0, 0, 40, 2040, 23868, 163932, 25053
  result is correct!
! 51, isa, 64, 0, 0, 44, 2244, 28716, 170379, 30060
  result is correct!
! 51, isa, 64, 0, 0, 48, 2448, 34012, 174361, 35635
  result is correct!
! 51, isa, 64, 0, 0, 52, 2652, 39756, 178946, 41598
  result is correct!
! 51, isa, 64, 0, 0, 56, 2856, 45948, 184083, 48044
  result is correct!
! 51, isa, 64, 0, 0, 60, 3060, 52588, 190346, 54969
  result is correct!
! 51, isa, 64, 0, 0, 64, 3264, 59676, 198723, 62353
  result is correct!
! 51, isa, 64, 0, 0, 68, 3468, 67212, 205984, 70396
  result is correct!
! 51, isa, 64, 0, 0, 72, 3672, 75196, 213957, 78694
  result is correct!
-----------------Showing intmul-rv64_isa_52_hybrid.log-----------------
! 52, isa, 64, 0, 0, 8, 416, 867, 22745, 929
  result is correct!
! 52, isa, 64, 0, 0, 12, 624, 1654, 22575, 1735
  result is correct!
! 52, isa, 64, 0, 0, 16, 832, 2698, 93219, 2916
  result is correct!
! 52, isa, 64, 0, 0, 20, 1040, 3972, 24953, 4174
  result is correct!
! 52, isa, 64, 0, 0, 24, 1248, 5505, 160139, 5917
  result is correct!
! 52, isa, 64, 0, 0, 28, 1456, 7292, 28124, 7616
  result is correct!
! 52, isa, 64, 0, 0, 32, 1664, 9333, 30374, 9741
  result is correct!
! 52, isa, 64, 0, 0, 36, 1872, 11628, 175778, 12300
  result is correct!
! 52, isa, 64, 0, 0, 40, 2080, 14177, 35146, 14814
  result is correct!
! 52, isa, 64, 0, 0, 44, 2288, 16980, 77307, 17790
  result is correct!
! 52, isa, 64, 0, 0, 48, 2496, 20037, 165576, 21116
  result is correct!
! 52, isa, 64, 0, 0, 52, 2704, 23348, 167800, 24570
  result is correct!
! 52, isa, 64, 0, 0, 56, 2912, 26913, 170228, 28279
  result is correct!
! 52, isa, 64, 0, 0, 60, 3120, 30732, 174333, 32257
  result is correct!
! 52, isa, 64, 0, 0, 64, 3328, 34805, 96140, 36361
  result is correct!
! 52, isa, 64, 0, 0, 68, 3536, 39132, 181916, 40980
  result is correct!
! 52, isa, 64, 0, 0, 72, 3744, 43713, 187506, 45812
  result is correct!
-----------------Showing intmul-rv64_isa_52_simple.log-----------------
! 52, isa, 64, 0, 0, 8, 416, 1211, 21505, 1251
  result is correct!
! 52, isa, 64, 0, 0, 12, 624, 2476, 22696, 2576
  result is correct!
! 52, isa, 64, 0, 0, 16, 832, 4188, 79948, 4434
  result is correct!
! 52, isa, 64, 0, 0, 20, 1040, 6348, 26506, 6628
  result is correct!
! 52, isa, 64, 0, 0, 24, 1248, 8956, 28936, 9311
  result is correct!
! 52, isa, 64, 0, 0, 28, 1456, 12012, 81215, 12572
  result is correct!
! 52, isa, 64, 0, 0, 32, 1664, 15516, 35719, 16154
  result is correct!
! 52, isa, 64, 0, 0, 36, 1872, 19468, 160325, 20423
  result is correct!
! 52, isa, 64, 0, 0, 40, 2080, 23868, 163402, 24997
  result is correct!
! 52, isa, 64, 0, 0, 44, 2288, 28716, 169639, 30049
  result is correct!
! 52, isa, 64, 0, 0, 48, 2496, 34012, 174392, 35632
  result is correct!
! 52, isa, 64, 0, 0, 52, 2704, 39756, 178117, 41540
  result is correct!
! 52, isa, 64, 0, 0, 56, 2912, 45948, 184470, 48092
  result is correct!
! 52, isa, 64, 0, 0, 60, 3120, 52588, 190398, 54980
  result is correct!
! 52, isa, 64, 0, 0, 64, 3328, 59676, 198333, 62356
  result is correct!
! 52, isa, 64, 0, 0, 68, 3536, 67212, 215598, 70362
  result is correct!
! 52, isa, 64, 0, 0, 72, 3744, 75196, 213080, 78739
  result is correct!
-----------------Showing intmul-rv64_isa_53_hybrid.log-----------------
! 53, isa, 64, 0, 0, 8, 424, 867, 22853, 928
  result is correct!
! 53, isa, 64, 0, 0, 12, 636, 1654, 22581, 1735
  result is correct!
! 53, isa, 64, 0, 0, 16, 848, 2698, 23502, 2837
  result is correct!
! 53, isa, 64, 0, 0, 20, 1060, 3972, 81525, 4243
  result is correct!
! 53, isa, 64, 0, 0, 24, 1272, 5505, 158002, 5913
  result is correct!
! 53, isa, 64, 0, 0, 28, 1484, 7292, 28172, 7617
  result is correct!
! 53, isa, 64, 0, 0, 32, 1696, 9333, 31230, 9742
  result is correct!
! 53, isa, 64, 0, 0, 36, 1908, 11628, 156387, 12278
  result is correct!
! 53, isa, 64, 0, 0, 40, 2120, 14177, 77124, 14870
  result is correct!
! 53, isa, 64, 0, 0, 44, 2332, 16980, 38120, 17716
  result is correct!
! 53, isa, 64, 0, 0, 48, 2544, 20037, 163857, 21079
  result is correct!
! 53, isa, 64, 0, 0, 52, 2756, 23348, 165068, 24563
  result is correct!
! 53, isa, 64, 0, 0, 56, 2968, 26913, 170747, 28224
  result is correct!
! 53, isa, 64, 0, 0, 60, 3180, 30732, 176526, 32211
  result is correct!
! 53, isa, 64, 0, 0, 64, 3392, 34805, 96929, 36382
  result is correct!
! 53, isa, 64, 0, 0, 68, 3604, 39132, 180343, 41050
  result is correct!
! 53, isa, 64, 0, 0, 72, 3816, 43713, 186020, 45816
  result is correct!
-----------------Showing intmul-rv64_isa_53_simple.log-----------------
! 53, isa, 64, 0, 0, 8, 424, 1211, 23273, 1274
  result is correct!
! 53, isa, 64, 0, 0, 12, 636, 2475, 22753, 2575
  result is correct!
! 53, isa, 64, 0, 0, 16, 848, 4188, 24200, 4327
  result is correct!
! 53, isa, 64, 0, 0, 20, 1060, 6348, 26497, 6607
  result is correct!
! 53, isa, 64, 0, 0, 24, 1272, 8956, 29983, 9337
  result is correct!
! 53, isa, 64, 0, 0, 28, 1484, 12012, 32212, 12511
  result is correct!
! 53, isa, 64, 0, 0, 32, 1696, 15516, 81575, 16234
  result is correct!
