for i in *.log ; do echo "-----------------Showing $i-----------------" ; cat 
$i ; done
-----------------Showing intmul-rv32_isa_20_hybrid.log-----------------
! 20, isa, 32, 0, 1, 8, 160, 837, 63961, 1215
  result is correct!
! 20, isa, 32, 0, 1, 12, 240, 1622, 65457, 2318
  result is correct!
! 20, isa, 32, 0, 1, 16, 320, 2671, 185614, 4130
  result is correct!
! 20, isa, 32, 0, 1, 20, 400, 3946, 67521, 5776
  result is correct!
! 20, isa, 32, 0, 1, 24, 480, 5479, 69199, 8074
  result is correct!
! 20, isa, 32, 0, 1, 28, 560, 7266, 178913, 10970
  result is correct!
! 20, isa, 32, 0, 1, 32, 640, 9307, 155042, 13714
  result is correct!
! 20, isa, 32, 0, 1, 36, 720, 11602, 341882, 17528
  result is correct!
! 20, isa, 32, 0, 1, 40, 800, 14151, 159340, 20883
  result is correct!
! 20, isa, 32, 0, 1, 44, 880, 16954, 169929, 25254
  result is correct!
! 20, isa, 32, 0, 1, 48, 960, 20011, 349147, 30168
  result is correct!
! 20, isa, 32, 0, 1, 52, 1040, 23322, 352724, 34929
  result is correct!
! 20, isa, 32, 0, 1, 56, 1120, 26887, 357219, 40491
  result is correct!
! 20, isa, 32, 0, 1, 60, 1200, 30706, 185841, 45683
  result is correct!
! 20, isa, 32, 0, 1, 64, 1280, 34779, 365363, 52335
  result is correct!
! 20, isa, 32, 0, 1, 68, 1360, 39106, 367897, 58730
  result is correct!
! 20, isa, 32, 0, 1, 72, 1440, 43687, 374404, 65876
  result is correct!
-----------------Showing intmul-rv32_isa_20_simple.log-----------------
! 20, isa, 32, 0, 1, 8, 160, 1226, 62578, 1711
  result is correct!
! 20, isa, 32, 0, 1, 12, 240, 2490, 145582, 3738
  result is correct!
! 20, isa, 32, 0, 1, 16, 320, 4202, 182085, 6221
  result is correct!
! 20, isa, 32, 0, 1, 20, 400, 6362, 149230, 9254
  result is correct!
! 20, isa, 32, 0, 1, 24, 480, 8970, 151226, 13089
  result is correct!
! 20, isa, 32, 0, 1, 28, 560, 12026, 338916, 17791
  result is correct!
! 20, isa, 32, 0, 1, 32, 640, 15530, 156396, 22628
  result is correct!
! 20, isa, 32, 0, 1, 36, 720, 19482, 344384, 28724
  result is correct!
! 20, isa, 32, 0, 1, 40, 800, 23882, 348011, 35259
  result is correct!
! 20, isa, 32, 0, 1, 44, 880, 28730, 355589, 42151
  result is correct!
! 20, isa, 32, 0, 1, 48, 960, 34026, 359183, 50079
  result is correct!
! 20, isa, 32, 0, 1, 52, 1040, 39770, 364923, 58520
  result is correct!
! 20, isa, 32, 0, 1, 56, 1120, 45962, 371699, 68167
  result is correct!
! 20, isa, 32, 0, 1, 60, 1200, 52602, 377782, 77929
  result is correct!
! 20, isa, 32, 0, 1, 64, 1280, 59690, 384027, 88117
  result is correct!
