for i in *.log ; do echo "-----------------Showing $i-----------------" ; cat 
$i ; done
-----------------Showing intmul-rv32_isa_20_hybrid.log-----------------
! 20, isa, 32, 0, 0, 8, 160, 837, 162375, 1422
  result is correct!
! 20, isa, 32, 0, 0, 12, 240, 1622, 65279, 2380
  result is correct!
! 20, isa, 32, 0, 0, 16, 320, 2671, 199060, 4344
  result is correct!
! 20, isa, 32, 0, 0, 20, 400, 3946, 67642, 5714
  result is correct!
! 20, isa, 32, 0, 0, 24, 480, 5479, 69465, 8011
  result is correct!
! 20, isa, 32, 0, 0, 28, 560, 7266, 174975, 10810
  result is correct!
! 20, isa, 32, 0, 0, 32, 640, 9307, 73687, 13684
  result is correct!
! 20, isa, 32, 0, 0, 36, 720, 11602, 165982, 17265
  result is correct!
! 20, isa, 32, 0, 0, 40, 800, 14151, 343452, 21546
  result is correct!
! 20, isa, 32, 0, 0, 44, 880, 16954, 344393, 25628
  result is correct!
! 20, isa, 32, 0, 0, 48, 960, 20011, 348582, 30172
  result is correct!
! 20, isa, 32, 0, 0, 52, 1040, 23322, 169109, 34498
  result is correct!
! 20, isa, 32, 0, 0, 56, 1120, 26887, 354451, 40462
  result is correct!
! 20, isa, 32, 0, 0, 60, 1200, 30706, 362008, 46242
  result is correct!
! 20, isa, 32, 0, 0, 64, 1280, 34779, 363312, 52143
  result is correct!
! 20, isa, 32, 0, 0, 68, 1360, 39106, 369816, 58884
  result is correct!
! 20, isa, 32, 0, 0, 72, 1440, 43687, 370436, 65973
  result is correct!
-----------------Showing intmul-rv32_isa_20_simple.log-----------------
! 20, isa, 32, 0, 0, 8, 160, 1226, 62296, 1712
  result is correct!
! 20, isa, 32, 0, 0, 12, 240, 2490, 64671, 3586
  result is correct!
! 20, isa, 32, 0, 0, 16, 320, 4202, 182120, 6222
  result is correct!
! 20, isa, 32, 0, 0, 20, 400, 6362, 67839, 9101
  result is correct!
! 20, isa, 32, 0, 0, 24, 480, 8970, 152461, 13030
  result is correct!
! 20, isa, 32, 0, 0, 28, 560, 12026, 73699, 17269
  result is correct!
! 20, isa, 32, 0, 0, 32, 640, 15530, 341520, 22980
  result is correct!
! 20, isa, 32, 0, 0, 36, 720, 19482, 344623, 28597
  result is correct!
! 20, isa, 32, 0, 0, 40, 800, 23882, 195162, 34707
  result is correct!
! 20, isa, 32, 0, 0, 44, 880, 28730, 352884, 42268
  result is correct!
! 20, isa, 32, 0, 0, 48, 960, 34026, 360652, 50116
  result is correct!
! 20, isa, 32, 0, 0, 52, 1040, 39770, 365018, 58392
  result is correct!
! 20, isa, 32, 0, 0, 56, 1120, 45962, 371147, 67315
  result is correct!
