for i in *.log ; do echo "-----------------Showing $i-----------------" ; cat 
$i ; done
-----------------Showing intmul-rv32_isa_20_hybrid.log-----------------
! 20, isa, 32, 1, 0, 8, 160, 842, 64622, 1221
  result is correct!
! 20, isa, 32, 1, 0, 12, 240, 1622, 147774, 2539
  result is correct!
! 20, isa, 32, 1, 0, 16, 320, 2671, 66173, 3871
  result is correct!
! 20, isa, 32, 1, 0, 20, 400, 3946, 331556, 6230
  result is correct!
! 20, isa, 32, 1, 0, 24, 480, 5479, 69249, 8007
  result is correct!
! 20, isa, 32, 1, 0, 28, 560, 7266, 152998, 10788
  result is correct!
! 20, isa, 32, 1, 0, 32, 640, 9307, 154797, 13786
  result is correct!
! 20, isa, 32, 1, 0, 36, 720, 11602, 337895, 17688
  result is correct!
! 20, isa, 32, 1, 0, 40, 800, 14151, 295030, 21166
  result is correct!
! 20, isa, 32, 1, 0, 44, 880, 16954, 172157, 25253
  result is correct!
! 20, isa, 32, 1, 0, 48, 960, 20011, 348271, 30261
  result is correct!
! 20, isa, 32, 1, 0, 52, 1040, 23322, 352114, 34929
  result is correct!
! 20, isa, 32, 1, 0, 56, 1120, 26887, 356440, 40348
  result is correct!
! 20, isa, 32, 1, 0, 60, 1200, 30706, 360263, 46028
  result is correct!
! 20, isa, 32, 1, 0, 64, 1280, 34779, 583183, 53045
  result is correct!
! 20, isa, 32, 1, 0, 68, 1360, 39106, 366931, 58729
  result is correct!
! 20, isa, 32, 1, 0, 72, 1440, 43687, 371957, 65873
  result is correct!
-----------------Showing intmul-rv32_isa_20_simple.log-----------------
! 20, isa, 32, 1, 0, 8, 160, 1226, 160436, 1949
  result is correct!
! 20, isa, 32, 1, 0, 12, 240, 2490, 146539, 3740
  result is correct!
! 20, isa, 32, 1, 0, 16, 320, 4202, 156372, 6199
  result is correct!
! 20, isa, 32, 1, 0, 20, 400, 6362, 148868, 9325
  result is correct!
! 20, isa, 32, 1, 0, 24, 480, 8970, 151230, 13093
  result is correct!
! 20, isa, 32, 1, 0, 28, 560, 12026, 338106, 17848
  result is correct!
! 20, isa, 32, 1, 0, 32, 640, 15530, 294087, 22605
  result is correct!
! 20, isa, 32, 1, 0, 36, 720, 19482, 345436, 28801
  result is correct!
! 20, isa, 32, 1, 0, 40, 800, 23882, 349323, 35080
  result is correct!
! 20, isa, 32, 1, 0, 44, 880, 28730, 355786, 42290
  result is correct!
! 20, isa, 32, 1, 0, 48, 960, 34026, 359126, 49962
  result is correct!
! 20, isa, 32, 1, 0, 52, 1040, 39770, 364913, 58550
  result is correct!
! 20, isa, 32, 1, 0, 56, 1120, 45962, 370432, 67397
  result is correct!
! 20, isa, 32, 1, 0, 60, 1200, 52602, 378150, 77577
  result is correct!
! 20, isa, 32, 1, 0, 64, 1280, 59690, 394180, 88106
  result is correct!
! 20, isa, 32, 1, 0, 68, 1360, 67226, 394070, 99270
  result is correct!
! 20, isa, 32, 1, 0, 72, 1440, 75210, 401727, 111123
  result is correct!
-----------------Showing intmul-rv32_isa_21_hybrid.log-----------------
! 21, isa, 32, 1, 0, 8, 168, 837, 64010, 1153
  result is correct!
! 21, isa, 32, 1, 0, 12, 252, 1622, 67818, 2385
  result is correct!
! 21, isa, 32, 1, 0, 16, 336, 2671, 147946, 4034
  result is correct!
! 21, isa, 32, 1, 0, 20, 420, 3946, 67782, 5718
  result is correct!
! 21, isa, 32, 1, 0, 24, 504, 5479, 189637, 8376
  result is correct!
! 21, isa, 32, 1, 0, 28, 588, 7266, 336597, 11184
  result is correct!
! 21, isa, 32, 1, 0, 32, 672, 9307, 177324, 14043
  result is correct!
! 21, isa, 32, 1, 0, 36, 756, 11602, 158225, 17243
  result is correct!
! 21, isa, 32, 1, 0, 40, 840, 14151, 341820, 21395
  result is correct!
! 21, isa, 32, 1, 0, 44, 924, 16954, 346839, 25549
  result is correct!
! 21, isa, 32, 1, 0, 48, 1008, 20011, 347242, 30097
  result is correct!
! 21, isa, 32, 1, 0, 52, 1092, 23322, 179354, 34763
  result is correct!
! 21, isa, 32, 1, 0, 56, 1176, 26887, 355095, 40365
  result is correct!
! 21, isa, 32, 1, 0, 60, 1260, 30706, 359685, 46323
  result is correct!
! 21, isa, 32, 1, 0, 64, 1344, 34779, 361963, 52335
  result is correct!
! 21, isa, 32, 1, 0, 68, 1428, 39106, 365852, 58933
  result is correct!
! 21, isa, 32, 1, 0, 72, 1512, 43687, 372212, 65863
  result is correct!
-----------------Showing intmul-rv32_isa_21_simple.log-----------------
! 21, isa, 32, 1, 0, 8, 168, 1226, 65493, 1776
  result is correct!
! 21, isa, 32, 1, 0, 12, 252, 2490, 140811, 3736
  result is correct!
! 21, isa, 32, 1, 0, 16, 336, 4202, 65826, 6027
  result is correct!
! 21, isa, 32, 1, 0, 20, 420, 6362, 330350, 9718
  result is correct!
! 21, isa, 32, 1, 0, 24, 504, 8970, 150712, 13098
  result is correct!
! 21, isa, 32, 1, 0, 28, 588, 12026, 176568, 17633
  result is correct!
! 21, isa, 32, 1, 0, 32, 672, 15530, 341549, 23234
  result is correct!
! 21, isa, 32, 1, 0, 36, 756, 19482, 344418, 28788
  result is correct!
! 21, isa, 32, 1, 0, 40, 840, 23882, 174627, 34809
  result is correct!
